,,Weights
"1,25",EAD,0.09985
"1,25",RA,0.00167
"1,25",KIO,0.00467
"1,25",ISD,0.30578
"1,25",VLT,0.00078
"1,25",FSD,0.06078
"1,25",GHY,0.00078
"1,25",JLS,0.00078
"1,25",IVH,0.00078
"1,25",AIF,0.00411
"1,25",HYB,0.06911
"1,25",EIC,0.00911
"1,24",HYI,0.00167
"1,24",OPP,0.00297
"1,24",MCR,0.00479
"1,24",CIK,0.00717
"1,24",NHS,0.20917
"1,24",HIO,0.08812
"1,24",MPV,0.00534
"1,24",DHY,0.02769
"1,24",MCI,0.00707
"1,24",AWF,0.0004
"1,24",DHF,0.07326
"1,24",BGH,0.00941
"1,24",EAD,0.11191
"1,24",RA,0.00191
"1,24",KIO,0.00591
"1,24",ISD,0.30702
"1,24",VLT,0.00077
"1,24",FSD,0.06077
"1,24",GHY,0.00077
"1,24",JLS,0.00077
"1,24",IVH,0.00077
"1,24",AIF,0.00077
"1,24",HYB,0.06577
"1,24",EIC,0.00577
"1,23",OPP,0.00348
"1,23",MCR,0.0053
"1,23",CIK,0.0072
"1,23",NHS,0.1992
"1,23",HIO,0.08815
"1,23",MPV,0.00537
"1,23",DHY,0.02714
"1,23",MCI,0.00714
"1,23",AWF,0.00047
"1,23",DHF,0.07333
"1,23",BGH,0.00948
"1,23",EAD,0.11198
"1,23",RA,0.00107
"1,23",KIO,0.00607
"1,23",ISD,0.30607
"1,23",VLT,0.00107
"1,23",FSD,0.06107
"1,23",GHY,0.00107
"1,23",JLS,0.00107
"1,23",IVH,0.00107
"1,23",AIF,0.0044
"1,23",HYB,0.0694
"1,23",EIC,0.0094
"1,22",MCR,0.00545
"1,22",CIK,0.00736
"1,22",NHS,0.20936
"1,22",HIO,0.08883
"1,22",MPV,0.0055
"1,22",DHY,0.02785
"1,22",MCI,0.0066
"1,22",AWF,0.0006
"1,22",DHF,0.07346
"1,22",BGH,0.00961
"1,22",EAD,0.11211
"1,22",RA,0.00211
"1,22",KIO,0.00711
"1,22",ISD,0.306
"1,22",VLT,0.001
"1,22",FSD,0.061
"1,22",GHY,0.001
"1,22",JLS,0.001
"1,22",IVH,0.001
"1,22",AIF,0.00434
"1,22",HYB,0.06434
"1,22",EIC,0.00434
"1,21",CIK,0.00762
"1,21",NHS,0.20962
"1,21",HIO,0.08857
"1,21",MPV,0.00523
"1,21",DHY,0.03759
"1,21",MCI,0.00696
"1,21",AWF,0.00096
"1,21",DHF,0.07382
"1,21",BGH,0.00997
"1,21",EAD,0.11247
"1,21",RA,0.00338
"1,21",KIO,0.00638
"1,21",ISD,0.30638
"1,21",VLT,0.00013
"1,21",FSD,0.06013
"1,21",GHY,0.00013
"1,21",JLS,0.00013
"1,21",IVH,0.00013
"1,21",AIF,0.00346
"1,21",HYB,0.06346
"1,21",EIC,0.00346
"1,20",NHS,0.21
"1,20",HIO,0.08895
"1,20",MPV,0.00561
"1,20",DHY,0.03797
"1,20",MCI,0.00734
"1,20",AWF,0.00068
"1,20",DHF,0.07425
"1,20",BGH,0.00963
"1,20",EAD,0.10213
"1,20",RA,0.00304
"1,20",KIO,0.00604
"1,20",ISD,0.31604
"1,20",VLT,0.00104
"1,20",FSD,0.07104
"1,20",GHY,0.00104
"1,20",JLS,0.00104
"1,20",IVH,0.00104
"1,20",AIF,0.00771
"1,20",HYB,0.04771
"1,20",EIC,0.00771
"1,19",HIO,0.07263
"1,19",MPV,0.00096
"1,19",DHY,0.06391
"1,19",MCI,0.00391
"1,19",AWF,0.00724
"1,19",DHF,0.09153
"1,19",BGH,0.00537
"1,19",EAD,0.12954
"1,19",RA,0.00681
"1,19",KIO,0.02381
