,,Weights
"1,31",BIF,0.01
"1,31",CEM,0.0
"1,31",MIE,0.003
"1,31",CET,0.23
"1,31",DSE,0.001
"1,31",CTR,0.004
"1,31",GRF,0.06
"1,31",EMO,0.0
"1,31",SRV,0.0
"1,31",SZC,0.055
"1,31",CEN,0.007
"1,30",CHN,0.001
"1,30",BGY,0.002
"1,30",IAF,0.003
"1,30",AWP,0.004
"1,30",BOE,0.016
"1,30",DPG,0.005
"1,30",NFJ,0.006
"1,30",AGD,0.0
"1,30",AEF,0.0
"1,30",ADX,0.501
"1,30",AOD,0.0
"1,30",BGR,0.004
"1,30",CPZ,0.002
"1,30",GLQ,0.001
"1,30",BCX,0.001
"1,30",JEQ,0.002
"1,30",IGR,0.003
"1,30",ASA,0.006
"1,30",PEO,0.032
"1,30",BIF,0.022
"1,30",CEM,0.0
"1,30",MIE,0.004
"1,30",CET,0.241
"1,30",DSE,0.001
"1,30",CTR,0.003
"1,30",GRF,0.067
"1,30",EMO,0.0
"1,30",SRV,0.0
"1,30",SZC,0.064
"1,30",CEN,0.007
"1,29",BGY,0.0
"1,29",IAF,0.001
"1,29",AWP,0.003
"1,29",BOE,0.014
"1,29",DPG,0.003
"1,29",NFJ,0.004
"1,29",AGD,0.0
"1,29",AEF,0.0
"1,29",ADX,0.5
"1,29",AOD,0.0
"1,29",BGR,0.001
"1,29",CPZ,0.0
"1,29",GLQ,0.0
"1,29",BCX,0.0
"1,29",JEQ,0.0
"1,29",IGR,0.0
"1,29",ASA,0.001
"1,29",PEO,0.031
"1,29",BIF,0.021
"1,29",CEM,0.0
"1,29",MIE,0.005
"1,29",CET,0.25
"1,29",DSE,0.0
"1,29",CTR,0.003
"1,29",GRF,0.063
"1,29",EMO,0.0
"1,29",SRV,0.0
"1,29",SZC,0.093
"1,29",CEN,0.007
"1,28",IAF,0.006
"1,28",AWP,0.007
"1,28",BOE,0.018
"1,28",DPG,0.007
"1,28",NFJ,0.008
"1,28",AGD,0.002
"1,28",AEF,0.003
"1,28",ADX,0.504
"1,28",AOD,0.001
"1,28",BGR,0.005
"1,28",CPZ,0.004
"1,28",GLQ,0.003
"1,28",BCX,0.004
"1,28",JEQ,0.004
"1,28",IGR,0.004
"1,28",ASA,0.006
"1,28",PEO,0.035
"1,28",BIF,0.026
"1,28",CEM,0.003
"1,28",MIE,0.009
"1,28",CET,0.222
"1,28",DSE,0.004
"1,28",CTR,0.0
"1,28",GRF,0.048
